did,len,elen,url
"0","128","9","27037803"
"1","247","33","27083247"
"2","135","22","27067309"
"3","83","0","27062253"
"4","10","1","27117697"
"5","140","20","27118996"
"6","155","22","27003418"
"7","12","4","27006330"
"8","162","0","27005690"
"9","3","0","27002650"
"10","187","9","27095971"
"11","132","31","27019979"
"12","146","21","27020244"
"13","105","8","27000951"
"14","140","18","27008368"
"15","175","20","27030512"
"16","145","9","27025815"
"17","199","5","27029956"
"18","162","14","27071189"
"19","185","23","27008524"
"20","223","9","27079697"
"21","93","10","27076250"
"22","170","1","27080376"
"23","164","28","27086975"
"24","244","11","27067168"
"25","203","15","27038190"
"26","47","11","27010104"
"27","60","14","27101546"
"28","204","11","27062301"
"29","168","21","27037936"
"30","166","10","27053136"
"31","58","9","27028539"
"32","6","0","27105223"
"33","172","12","27043927"
"34","147","1","27058544"
"35","2","0","27164992"
"36","146","1","27014948"
"37","214","7","27112415"
"38","19","2","27112037"
"39","260","27","27111487"
"40","43","1","27015488"
"41","206","7","27015336"
"42","128","19","27013844"
"43","104","9","27111397"
"44","200","6","27087698"
"45","185","31","27015549"
"46","223","1","27014477"
"47","138","14","27056656"
"48","280","36","27073179"
"49","65","6","27014921"
"50","153","2","27011811"
"51","6","2","27051771"
"52","10","0","27036859"
"53","146","0","27045194"
"54","123","3","27077079"
"55","171","12","27027241"
"56","51","5","27079849"
"57","136","10","27077568"
"58","6","0","27041132"
"59","121","11","27039895"
"60","19","0","27084078"
"61","9","0","27014365"
"62","173","0","27014083"
"63","268","24","27065706"
"64","16","2","27005265"
"65","208","26","27093470"
"66","154","15","27013076"
"67","200","3","27003266"
"68","175","8","27005614"
"69","204","19","27052743"
"70","223","18","27049663"
"71","139","23","27082228"
"72","156","9","27045727"
"73","189","12","27075942"
"74","114","0","27051425"
"75","128","3","27076861"
"76","149","33","27037022"
"77","153","27","27077460"
"78","194","12","27041544"
"79","11","0","27005448"
"80","229","10","27076213"
"81","216","13","27003321"
"82","171","1","27081664"
"83","82","9","27075114"
"84","87","0","27103894"
"85","239","1","27055037"
"86","153","20","27051389"
"87","107","13","27100483"
"88","235","8","27006343"
"89","186","31","27096629"
"90","223","6","27042950"
"91","187","16","27111023"
"92","190","2","27111011"
"93","193","6","27111004"
"94","143","8","27009807"
"95","75","14","27110913"
"96","134","1","27015741"
"97","143","1","27005396"
"98","132","21","27057191"
"99","164","1","27065477"
"100","139","6","27087935"
"101","215","15","27012785"
"102","143","3","27013256"
"103","213","16","27012625"
"104","230","23","27015005"
"105","154","1","27069649"
"106","8","0","27002874"
"107","160","6","27003801"
"108","136","21","27076848"
"109","9","1","27008553"
"110","166","7","27008682"
"111","146","15","27002326"
"112","212","26","27099330"
"113","14","0","27101919"
"114","85","0","27104711"
"115","104","11","27019312"
"116","8","0","27098000"
"117","73","7","27103980"
"118","116","13","27006413"
"119","250","46","27000083"
"120","194","6","27006046"
"121","205","12","27114104"
"122","104","9","27008708"
"123","164","9","27118718"
"124","200","12","27008088"
"125","190","17","27114962"
"126","145","8","27110811"
"127","112","6","27110603"
"128","106","8","27110562"
"129","215","22","27110374"
"130","90","11","27164945"
"131","174","22","27107312"
"132","178","23","27084261"
"133","124","26","27076087"
"134","239","9","27027499"
"135","156","5","27028731"
"136","64","23","27081571"
"137","19","1","27024581"
"138","201","21","27042272"
"139","145","21","27051450"
"140","91","6","27022388"
"141","203","2","27025568"
"142","4","0","27033481"
"143","117","0","27105325"
"144","96","2","27067236"
"145","71","1","27054154"
"146","135","6","27157752"
"147","10","0","27158298"
"148","130","15","27075261"
"149","319","53","27165126"
"150","118","32","27051544"
"151","9","1","27039158"
"152","198","15","27093686"
"153","202","1","27085396"
"154","130","23","27045536"
"155","252","9","27028128"
"156","140","5","27079461"
"157","173","23","27109747"
"158","93","12","27109068"
"159","189","24","27108660"
"160","8","1","27108458"
"161","176","20","27016446"
"162","170","0","27141148"
"163","210","9","27148338"
"164","184","13","27167557"
"165","105","28","27166432"
"166","191","35","27129233"
"167","5","1","27126844"
"168","154","2","27047316"
"169","5","1","27061675"
"170","159","12","27029776"
"171","224","11","27010569"
"172","240","44","27010902"
"173","218","14","27107962"
"174","127","27","27107075"
"175","127","21","27106742"
"176","169","36","27106740"
"177","183","11","27042428"
"178","191","6","27168551"
"179","185","2","27087478"
"180","133","2","27088868"
"181","245","25","27080297"
"182","70","0","27128059"
"183","222","24","27126126"
"184","98","17","27127920"
"185","19","4","27024657"
"186","14","2","27024145"
"187","112","15","27159196"
"188","163","20","27159636"
"189","217","1","27064171"
"190","116","2","27035394"
"191","203","23","27036311"
"192","112","0","27015514"
"193","217","1","27014480"
"194","198","30","27104764"
"195","108","16","27168244"
"196","76","4","27166452"
"197","239","42","27019545"
"198","229","24","27105538"
"199","176","21","27008334"
"200","207","31","27004401"
"201","8","1","27002138"
"202","184","12","27000456"
"203","135","5","27005520"
"204","3","0","27006648"
"205","77","3","27006601"
"206","216","11","27140176"
"207","164","32","27113200"
"208","144","15","27136701"
"209","235","23","27054681"
"210","195","3","27096088"
"211","12","1","27100733"
"212","111","9","27033164"
"213","27","0","27165374"
"214","178","10","27165004"
"215","158","10","27167300"
"216","6","1","27075702"
"217","197","11","27083954"
"218","77","11","27093481"
"219","234","38","27015401"
"220","165","19","27013822"
"221","235","7","27012911"
"222","254","9","27012523"
"223","167","17","27086072"
"224","114","12","27086930"
"225","209","19","27060636"
"226","10","0","27073957"
"227","193","17","27035255"
"228","226","38","27061538"
"229","155","1","27068923"
"230","127","13","27025031"
"231","110","12","27024980"
"232","197","0","27110383"
"233","318","6","27011923"
"234","230","28","27039127"
"235","197","4","27167027"
"236","142","13","27164831"
"237","200","12","27167138"
"238","193","9","27033358"
"239","139","1","27044645"
"240","110","3","27092640"
"241","8","0","27092384"
"242","127","24","27117887"
"243","168","9","27099609"
"244","9","2","27064382"
"245","77","0","27059558"
"246","166","8","27056904"
"247","154","19","27059957"
"248","147","16","27091307"
"249","187","4","27051367"
"250","220","13","27038061"
"251","109","1","27023721"
"252","100","6","27043717"
"253","168","15","27017166"
"254","21","4","27069073"
"255","174","9","27051203"
"256","153","36","27044027"
"257","189","36","27130232"
"258","219","17","27129420"
"259","206","16","27129917"
"260","139","4","27100851"
"261","89","0","27025636"
"262","112","15","27036939"
"263","6","0","27006010"
"264","212","31","27004526"
"265","179","6","27007952"
"266","194","6","27004887"
"267","13","0","27005055"
"268","167","17","27000525"
"269","204","8","27003658"
"270","6","0","27024441"
"271","176","32","27106737"
"272","144","7","27106541"
"273","188","10","27106273"
"274","167","7","27106050"
"275","174","17","27030598"
"276","151","22","27040985"
"277","98","0","27135537"
"278","9","1","27136604"
"279","192","4","27105018"
"280","192","15","27042423"
"281","117","12","27061843"
"282","107","9","27027065"
"283","184","23","27106045"
"284","133","1","27105856"
"285","219","42","27105172"
"286","7","3","27103693"
"287","62","2","27086786"
"288","190","0","27094442"
"289","164","0","27055658"
"290","256","3","27082742"
"291","169","2","27045096"
"292","230","27","27081787"
"293","173","32","27040154"
"294","204","22","27096721"
"295","204","47","27079867"
"296","249","28","27102275"
"297","214","5","27072837"
"298","238","21","27012476"
"299","8","1","27013209"
"300","170","1","27015103"
"301","87","0","27002492"
"302","203","17","27011745"
"303","150","22","27090360"
"304","173","1","27028074"
"305","253","0","27026120"
"306","145","7","27048165"
"307","147","16","27009370"
"308","184","14","27091339"
"309","130","0","27064930"
"310","239","3","27082965"
"311","201","12","27014794"
"312","249","44","27015205"
"313","6","2","27024518"
"314","104","8","27163711"
"315","206","11","27163364"
"316","14","3","27063103"
"317","378","23","27163732"
"318","327","59","27163986"
"319","2","0","27095374"
"320","178","1","27097052"
"321","167","1","27069801"
"322","204","6","27077497"
"323","174","12","27083907"
"324","6","0","27097260"
"325","100","22","27112161"
"326","202","36","27032075"
"327","8","0","27000520"
"328","8","0","27003017"
"329","13","0","27008150"
"330","129","0","27000640"
"331","9","0","27024587"
"332","218","26","27080243"
"333","175","20","27059958"
"334","155","14","27164908"
"335","119","12","27168003"
"336","159","20","27035219"
"337","142","6","27034854"
"338","195","9","27167532"
"339","180","9","27166858"
"340","64","13","27114046"
"341","112","11","27066173"
"342","132","11","27066379"
"343","167","20","27052432"
"344","202","28","27035124"
"345","185","24","27027935"
"346","11","1","27025007"
"347","89","3","27025502"
"348","147","23","27026059"
"349","7","1","27023969"
"350","138","8","27008176"
"351","3","1","27000442"
"352","163","1","27004589"
"353","3","0","27003543"
"354","248","27","27133205"
"355","147","18","27135638"
"356","169","7","27087039"
"357","169","7","27146696"
"358","186","11","27096365"
"359","222","29","27146390"
"360","153","24","27128169"
"361","129","12","27091426"
"362","6","0","27127917"
"363","199","10","27127339"
"364","80","6","27114661"
"365","176","36","27118869"
"366","270","12","27113736"
"367","9","0","27097922"
"368","140","14","27052033"
"369","141","22","27020780"
"370","161","19","27066791"
"371","190","18","27087174"
"372","6","1","27084191"
"373","127","6","27106426"
"374","115","5","27060093"
"375","253","0","27084995"
"376","178","1","27042398"
"377","225","27","27100959"
"378","173","8","27125412"
"379","153","9","27060870"
"380","4","2","27024125"
"381","153","0","27004883"
"382","99","16","27001600"
"383","99","10","27020399"
"384","185","28","27020415"
"385","163","12","27166369"
"386","112","12","27044113"
"387","153","0","27077211"
"388","4","0","27015299"
"389","170","22","27038469"
"390","154","18","27000118"
"391","121","2","27007645"
"392","131","5","27127597"
"393","107","6","27128180"
"394","160","8","27127029"
"395","279","46","27103021"
"396","15","6","27051783"
"397","197","30","27084997"
"398","208","22","27096778"
"399","175","23","27085653"
"400","70","10","27032431"
"401","161","9","27032218"
"402","129","4","27166322"
"403","125","7","27167775"
"404","164","27","27052512"
"405","437","48","27023695"
"406","200","44","27103204"
"407","137","13","27102784"
"408","185","16","27102292"
"409","94","10","27102147"
"410","146","1","27027515"
"411","84","11","27029303"
"412","245","15","27038556"
"413","84","12","27121104"
"414","215","13","27031708"
"415","206","14","27149380"
"416","89","2","27148837"
"417","130","16","27149682"
"418","178","21","27147545"
"419","8","2","27101783"
"420","157","2","27101409"
"421","162","5","27101001"
"422","167","9","27101315"
"423","181","4","27099871"
"424","143","8","27037861"
"425","95","18","27076731"
"426","136","11","27060911"
"427","148","12","27027614"
"428","70","0","27049669"
"429","111","4","27044475"
"430","10","1","27067284"
"431","156","15","27065818"
"432","236","11","27165303"
"433","158","15","27165869"
"434","159","3","27081355"
"435","103","5","27076622"
"436","126","25","27042949"
"437","182","15","27026968"
"438","13","2","27024222"
"439","123","3","27021854"
"440","225","3","27087212"
"441","6","1","27166219"
"442","157","5","27166679"
"443","3","0","27027268"
"444","132","3","27165321"
"445","12","0","27024208"
"446","79","3","27097227"
"447","187","8","27091989"
"448","12","1","27056653"
"449","164","3","27101019"
"450","7","0","27027788"
"451","220","16","27002673"
"452","43","8","27001556"
"453","166","6","27002477"
"454","8","1","27005222"
"455","163","13","27166854"
"456","198","4","27143517"
"457","113","12","27157542"
"458","233","1","27050044"
"459","204","0","27079138"
"460","176","36","27025610"
"461","204","8","27054089"
"462","162","11","27083391"
"463","196","17","27036951"
"464","73","3","27001389"
"465","119","0","27005956"
"466","211","10","27010279"
"467","179","15","27000956"
"468","189","0","27008646"
"469","5","1","27002581"
"470","5","1","27006060"
"471","190","25","27123983"
"472","17","2","27124578"
"473","85","17","27122451"
"474","14","1","27124859"
"475","28","2","27024310"
"476","139","14","27056731"
"477","12","1","27100043"
"478","167","7","27037883"
"479","118","13","27009454"
"480","178","9","27012283"
"481","249","6","27013805"
"482","170","2","27012281"
"483","250","36","27014300"
"484","179","17","27168846"
"485","236","21","27036889"
"486","203","15","27086940"
"487","184","6","27037206"
"488","184","9","27031942"
"489","204","13","27018990"
"490","152","8","27051626"
"491","181","30","27023326"
"492","11","1","27157212"
"493","220","17","27156564"
"494","2","0","27012701"
"495","205","23","27013928"
"496","123","5","27081468"
"497","75","0","27051871"
"498","174","1","27103332"
"499","228","14","27168944"
"500","184","11","27021691"
"501","147","0","27028847"
"502","222","6","27026307"
"503","5","1","27021478"
"504","159","23","27099614"
"505","198","16","27162057"
"506","171","2","27040775"
"507","177","15","27045689"
"508","152","18","27003844"
"509","89","6","27001061"
"510","190","8","27003454"
"511","125","2","27000381"
"512","206","14","27008458"
"513","161","14","27007545"
"514","11","2","27099228"
"515","237","41","27063218"
"516","190","25","27098968"
"517","124","21","27098709"
"518","189","8","27098639"
"519","128","20","27098563"
"520","149","4","27098367"
"521","155","0","27008772"
"522","198","21","27031114"
"523","122","7","27022585"
"524","92","6","27168451"
"525","62","4","27167848"
"526","13","0","27167748"
"527","201","26","27166227"
"528","192","18","27165266"
"529","192","9","27164934"
"530","13","1","27062743"
"531","155","18","27136659"
"532","140","32","27015393"
"533","124","6","27012376"
"534","190","22","27012525"
"535","302","40","27013870"
"536","145","0","27075258"
"537","157","10","27072717"
"538","7","0","27086182"
"539","170","23","27168785"
"540","200","25","27168863"
"541","125","3","27082138"
"542","117","15","27027998"
"543","203","25","27022464"
"544","119","4","27023876"
"545","30","0","27073958"
"546","175","25","27006659"
"547","280","3","27004824"
"548","169","0","27006628"
"549","170","4","27129104"
"550","145","3","27126658"
"551","181","28","27011480"
"552","137","3","27009043"
"553","68","0","27097099"
"554","184","1","27104814"
"555","222","10","27055984"
"556","178","14","27033179"
"557","207","0","27013599"
"558","166","13","27026922"
"559","185","21","27052842"
"560","130","5","27009355"
"561","150","2","27030726"
"562","3","0","27013252"
"563","190","28","27069368"
"564","192","1","27105142"
"565","144","27","27070651"
"566","210","24","27097751"
"567","146","11","27049619"
"568","79","0","27019516"
"569","118","25","27098668"
"570","155","25","27066465"
"571","309","9","27096198"
"572","125","27","27060981"
"573","10","0","27014903"
"574","157","22","27013580"
"575","104","7","27130679"
"576","198","15","27130587"
"577","178","5","27130082"
"578","172","30","27155860"
"579","3","0","27155677"
"580","150","3","27157123"
"581","211","48","27157529"
"582","115","12","27048822"
"583","192","31","27030258"
"584","152","17","27098539"
"585","177","27","27158534"
"586","112","2","27159017"
"587","155","31","27158335"
"588","230","17","27015387"
"589","7","0","27012337"
"590","201","1","27012637"
"591","159","14","27009720"
"592","231","17","27011971"
"593","92","2","27030999"
"594","256","32","27064652"
"595","112","8","27079225"
"596","160","0","27079084"
"597","124","16","27008703"
"598","151","21","27004119"
"599","173","21","27094812"
"600","182","1","27049648"
"601","170","22","27074565"
"602","241","21","27089158"
"603","136","9","27103435"
"604","125","6","27134370"
"605","225","24","27133533"
"606","15","3","27098895"
"607","179","22","27037477"
"608","236","8","27075206"
"609","160","6","27003063"
"610","183","16","27004032"
"611","101","6","27007725"
"612","156","0","27008548"
"613","9","0","27003479"
"614","204","8","27000848"
"615","123","8","27125231"
"616","83","9","27169015"
"617","149","2","27069728"
"618","174","6","27016219"
"619","214","6","27006203"
"620","216","1","27007236"
"621","140","2","27000132"
"622","212","2","27003836"
"623","131","19","27004938"
"624","18","3","27005064"
"625","4","0","27005408"
"626","63","6","27000612"
"627","143","7","27004166"
"628","204","14","27006345"
"629","217","34","27056567"
"630","150","17","27035250"
"631","183","4","27013113"
"632","142","13","27073031"
"633","144","23","27132813"
"634","140","3","27136722"
"635","196","19","27138112"
"636","189","10","27140631"
"637","148","20","27113065"
"638","63","13","27117614"
"639","120","7","27114085"
"640","33","3","27098333"
"641","236","11","27098324"
"642","180","8","27097691"
"643","214","33","27096803"
"644","185","15","27015016"
"645","132","30","27013830"
"646","82","12","27096800"
"647","98","13","27096797"
"648","174","22","27096781"
"649","128","22","27095974"
"650","82","14","27094260"
